# Connectivity, Fiedler value, and Euler characteristic experiment for n=100
p,P(connected),avg_lambda_2,avg_euler_char
0.0000,0.0000,0.000000,100.000000
0.0100,0.0000,-0.000000,50.753000
0.0200,0.0000,-0.000000,1.211000
0.0300,0.0030,0.000661,-47.837000
0.0400,0.1810,0.066719,-97.302000
0.0500,0.5290,0.313499,-147.632000
0.0600,0.8100,0.687789,-196.767000
0.0700,0.9280,1.087234,-247.015000
0.0800,0.9660,1.556157,-295.259000
0.0900,0.9910,2.056931,-345.333000
0.1000,0.9980,2.611839,-394.228000
0.1100,0.9990,3.166421,-443.940000
0.1200,1.0000,3.763267,-492.302000
0.1300,1.0000,4.421584,-543.709000
0.1400,1.0000,4.994957,-592.275000
0.1500,1.0000,5.701465,-642.524000
0.1600,1.0000,6.389266,-690.565000
0.1700,1.0000,7.064040,-742.529000
0.1800,1.0000,7.745550,-789.616000
0.1900,1.0000,8.510553,-840.877000
0.2000,1.0000,9.201888,-889.352000
0.2100,1.0000,9.932684,-938.875000
0.2200,1.0000,10.711326,-990.146000
0.2300,1.0000,11.456459,-1039.027000
0.2400,1.0000,12.233756,-1086.591000
0.2500,1.0000,12.993866,-1136.517000
0.2600,1.0000,13.758518,-1185.779000
0.2700,1.0000,14.666369,-1237.857000
0.2800,1.0000,15.387859,-1287.727000
0.2900,1.0000,16.199148,-1335.968000
0.3000,1.0000,17.023527,-1384.630000
0.3100,1.0000,17.935639,-1435.271000
0.3200,1.0000,18.805863,-1485.017000
0.3300,1.0000,19.629511,-1533.927000
0.3400,1.0000,20.428469,-1581.227000
0.3500,1.0000,21.319321,-1633.692000
0.3600,1.0000,22.120818,-1680.623000
0.3700,1.0000,23.010398,-1730.987000
0.3800,1.0000,23.937683,-1781.891000
0.3900,1.0000,24.870786,-1830.725000
0.4000,1.0000,25.759376,-1880.938000
0.4100,1.0000,26.639725,-1928.980000
0.4200,1.0000,27.563445,-1978.942000
0.4300,1.0000,28.532711,-2029.390000
0.4400,1.0000,29.321445,-2077.214000
0.4500,1.0000,30.305564,-2126.162000
0.4600,1.0000,31.294928,-2175.100000
0.4700,1.0000,32.231370,-2227.147000
0.4800,1.0000,33.178997,-2275.803000
0.4900,1.0000,34.061990,-2323.392000
0.5000,1.0000,34.973086,-2376.346000
0.5100,1.0000,35.960628,-2424.094000
0.5200,1.0000,37.019883,-2473.347000
0.5300,1.0000,37.894180,-2521.051000
0.5400,1.0000,38.929756,-2572.538000
0.5500,1.0000,39.945209,-2622.976000
0.5600,1.0000,40.971754,-2674.023000
0.5700,1.0000,41.904657,-2721.509000
0.5800,1.0000,42.995783,-2772.460000
0.5900,1.0000,43.920758,-2821.902000
0.6000,1.0000,44.987833,-2870.130000
0.6100,1.0000,45.988553,-2919.674000
0.6200,1.0000,47.054949,-2968.383000
0.6300,1.0000,48.055683,-3018.956000
0.6400,1.0000,49.077276,-3067.314000
0.6500,1.0000,50.195512,-3117.397000
0.6600,1.0000,51.244997,-3167.762000
0.6700,1.0000,52.242171,-3216.385000
0.6800,1.0000,53.387175,-3266.412000
0.6900,1.0000,54.464030,-3316.918000
0.7000,1.0000,55.545049,-3365.258000
0.7100,1.0000,56.651387,-3414.682000
0.7200,1.0000,57.805284,-3465.071000
0.7300,1.0000,58.940299,-3515.422000
0.7400,1.0000,60.062930,-3563.046000
0.7500,1.0000,61.156133,-3612.969000
0.7600,1.0000,62.178127,-3660.822000
0.7700,1.0000,63.319540,-3710.655000
0.7800,1.0000,64.580710,-3760.853000
0.7900,1.0000,65.666863,-3810.709000
0.8000,1.0000,66.900098,-3861.079000
0.8100,1.0000,68.192655,-3909.825000
0.8200,1.0000,69.279365,-3956.964000
0.8300,1.0000,70.551786,-4008.080000
0.8400,1.0000,71.833400,-4060.002000
0.8500,1.0000,73.011728,-4106.212000
0.8600,1.0000,74.245237,-4157.347000
0.8700,1.0000,75.556208,-4206.862000
0.8800,1.0000,76.862896,-4255.655000
0.8900,1.0000,78.230202,-4303.772000
0.9000,1.0000,79.576818,-4354.361000
0.9100,1.0000,80.919676,-4404.489000
0.9200,1.0000,82.330310,-4454.359000
0.9300,1.0000,83.859300,-4503.617000
0.9400,1.0000,85.378890,-4553.197000
0.9500,1.0000,86.862724,-4602.220000
0.9600,1.0000,88.469573,-4650.591000
0.9700,1.0000,90.206692,-4701.458000
0.9800,1.0000,92.152974,-4751.646000
0.9900,1.0000,94.401899,-4800.537000
1.0000,1.0000,100.000000,-4850.000000
